statistics_code;statistics_label;time_code;time_label;time;1_variable_code;1_variable_label;1_variable_attribute_code;1_variable_attribute_label;2_variable_code;2_variable_label;2_variable_attribute_code;2_variable_attribute_label;3_variable_code;3_variable_label;3_variable_attribute_code;3_variable_attribute_label;value;value_unit;value_variable_code;value_variable_label;value_q
46241;Statistics of road traffic accidents;JAHR;Year;2018;DINSG;Germany;DG;Germany;VERUK1;Accident category;;Total;VEROL1;Area;ORTSLG02;Outside built-up areas (excl. motorways/freeways);514178;number;VER001;Accidents (recorded by the police);e
46241;Statistics of road traffic accidents;JAHR;Year;2021;DINSG;Germany;DG;Germany;VERUK1;Accident category;UNF-SACH-UEBR;Other accidents involving material damage;VEROL1;Area;ORTSLG02;Outside built-up areas (excl. motorways/freeways);411057;number;VER001;Accidents (recorded by the police);e
46241;Statistics of road traffic accidents;JAHR;Year;2018;DINSG;Germany;DG;Germany;VERUK1;Accident category;UNF-PERS;Personal injury accidents;VEROL1;Area;;Total;308721;number;VER001;Accidents (recorded by the police);e
46241;Statistics of road traffic accidents;JAHR;Year;2021;DINSG;Germany;DG;Germany;VERUK1;Accident category;UNF-PERS;Personal injury accidents;VEROL1;Area;ORTSLG01;Inside built-up areas;176948;number;VER001;Accidents (recorded by the police);e
46241;Statistics of road traffic accidents;JAHR;Year;2016;DINSG;Germany;DG;Germany;VERUK1;Accident category;UNF-SACH-UEBR;Other accidents involving material damage;VEROL1;Area;ORTSLG01;Inside built-up areas;1636802;number;VER001;Accidents (recorded by the police);e
46241;Statistics of road traffic accidents;JAHR;Year;2020;DINSG;Germany;DG;Germany;VERUK1;Accident category;UNF-RAUSCH;Other accidents involving intoxication;VEROL1;Area;;Total;13596;number;VER001;Accidents (recorded by the police);e
46241;Statistics of road traffic accidents;JAHR;Year;2015;DINSG;Germany;DG;Germany;VERUK1;Accident category;;Total;VEROL1;Area;ORTSLG01;Inside built-up areas;1854919;number;VER001;Accidents (recorded by the police);e
46241;Statistics of road traffic accidents;JAHR;Year;2021;DINSG;Germany;DG;Germany;VERUK1;Accident category;UNF-SACH;Serious acc. invol. mat.damage in the nearer sense;VEROL1;Area;ORTSLG01;Inside built-up areas;34983;number;VER001;Accidents (recorded by the police);e
46241;Statistics of road traffic accidents;JAHR;Year;2019;DINSG;Germany;DG;Germany;VERUK1;Accident category;UNF-SACH-UEBR;Other accidents involving material damage;VEROL1;Area;ORTSLG02;Outside built-up areas (excl. motorways/freeways);439165;number;VER001;Accidents (recorded by the police);e
46241;Statistics of road traffic accidents;JAHR;Year;2023;DINSG;Germany;DG;Germany;VERUK1;Accident category;;Total;VEROL1;Area;ORTSLG01;Inside built-up areas;1843842;number;VER001;Accidents (recorded by the police);e
46241;Statistics of road traffic accidents;JAHR;Year;2015;DINSG;Germany;DG;Germany;VERUK1;Accident category;UNF-SACH-UEBR;Other accidents involving material damage;VEROL1;Area;ORTSLG01;Inside built-up areas;1592255;number;VER001;Accidents (recorded by the police);e
